organization_name,industry,size,region,energy_use_level,emissions_maturity,certifications,disclosure_level,goals,certifications_str,goals_str,target_stage,target_framework_slug,target_score
Synthetic Org #539,transport,1000-5000,na,very-high,advanced,['iso-14001'],none,['net-zero'],iso-14001,net-zero,improve,sbti,92
Synthetic Org #540,transport,1000-5000,global,very-high,none,['iso-14064'],none,[],iso-14064,,measure,ghg-protocol,99
Synthetic Org #541,energy,50-250,uk,very-high,none,[],full,['renewables'],,renewables,measure,ghg-protocol,97
Synthetic Org #542,energy,5000+,apac,moderate,basic,"['iso-45001', 'iso-50001', 'iso-14001']",partial,[],"iso-45001,iso-50001,iso-14001",,measure,ghg-protocol,88
Synthetic Org #543,financial,5000+,global,high,basic,['iso-50001'],full,['net-zero'],iso-50001,net-zero,improve,sbti,97
Synthetic Org #544,construction,1-50,eu,very-high,basic,[],none,['stakeholder-trust'],,stakeholder-trust,report,csrd,99
Synthetic Org #545,energy,1000-5000,latam,moderate,none,"['iso-14064', 'iso-45001']",none,"['sbti', 'sdg', 'net-zero']","iso-14064,iso-45001","sbti,sdg,net-zero",measure,ghg-protocol,97
Synthetic Org #546,construction,50-250,uk,low,advanced,['iso-14001'],full,[],iso-14001,,report,gri,87
Synthetic Org #547,technology,50-250,apac,low,none,[],partial,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,92
Synthetic Org #548,technology,1000-5000,apac,moderate,none,['iso-45001'],full,['sdg'],iso-45001,sdg,measure,ghg-protocol,99
Synthetic Org #549,manufacturing,1000-5000,apac,very-high,advanced,"['iso-14064', 'iso-14001']",partial,"['sbti', 'sdg', 'stakeholder-trust']","iso-14064,iso-14001","sbti,sdg,stakeholder-trust",improve,sbti,92
Synthetic Org #550,agriculture,250-1000,latam,moderate,none,[],full,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",measure,ghg-protocol,95
Synthetic Org #551,financial,250-1000,uk,low,advanced,['iso-50001'],full,[],iso-50001,,report,gri,75
Synthetic Org #552,healthcare,250-1000,latam,moderate,basic,[],full,"['renewables', 'sbti', 'sdg']",,"renewables,sbti,sdg",improve,sbti,96
Synthetic Org #553,agriculture,5000+,eu,high,basic,"['iso-45001', 'iso-14001', 'iso-14064']",partial,"['net-zero', 'stakeholder-trust', 'renewables']","iso-45001,iso-14001,iso-14064","net-zero,stakeholder-trust,renewables",improve,sbti,95
Synthetic Org #554,chemicals,1-50,eu,low,basic,[],none,[],,,report,csrd,93
Synthetic Org #555,healthcare,1000-5000,apac,very-high,advanced,"['iso-45001', 'iso-14001', 'iso-50001']",full,['stakeholder-trust'],"iso-45001,iso-14001,iso-50001",stakeholder-trust,report,issb,82
Synthetic Org #556,energy,1-50,eu,very-high,none,"['iso-14001', 'iso-50001', 'iso-45001']",partial,['net-zero'],"iso-14001,iso-50001,iso-45001",net-zero,measure,ghg-protocol,95
Synthetic Org #557,healthcare,250-1000,india,low,advanced,['iso-14001'],none,['stakeholder-trust'],iso-14001,stakeholder-trust,report,brsr,88
Synthetic Org #558,energy,1-50,apac,moderate,advanced,[],partial,['stakeholder-trust'],,stakeholder-trust,manage,iso-14001,84
Synthetic Org #559,construction,5000+,apac,moderate,advanced,"['iso-14064', 'iso-45001']",full,[],"iso-14064,iso-45001",,manage,iso-14001,88
Synthetic Org #560,healthcare,250-1000,apac,very-high,advanced,['iso-14001'],full,['sbti'],iso-14001,sbti,improve,sbti,91
Synthetic Org #561,financial,1000-5000,india,high,advanced,"['iso-14064', 'iso-50001']",none,['stakeholder-trust'],"iso-14064,iso-50001",stakeholder-trust,report,brsr,94
Synthetic Org #562,technology,250-1000,uk,very-high,advanced,"['iso-50001', 'iso-45001']",partial,"['sbti', 'renewables', 'sdg']","iso-50001,iso-45001","sbti,renewables,sdg",improve,sbti,99
Synthetic Org #563,transport,250-1000,uk,very-high,basic,"['iso-14001', 'iso-50001', 'iso-14064']",none,"['sbti', 'sdg', 'net-zero']","iso-14001,iso-50001,iso-14064","sbti,sdg,net-zero",improve,sbti,94
Synthetic Org #564,transport,50-250,eu,high,none,['iso-50001'],full,[],iso-50001,,measure,ghg-protocol,92
Synthetic Org #565,manufacturing,1000-5000,na,moderate,none,['iso-50001'],partial,['sdg'],iso-50001,sdg,measure,ghg-protocol,99
Synthetic Org #566,transport,1-50,india,very-high,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",none,"['sbti', 'renewables']","iso-14001,iso-45001,iso-50001","sbti,renewables",improve,sbti,94
Synthetic Org #567,healthcare,1-50,india,high,none,"['iso-14064', 'iso-14001']",full,[],"iso-14064,iso-14001",,measure,ghg-protocol,99
Synthetic Org #568,technology,250-1000,latam,very-high,basic,[],none,"['net-zero', 'renewables', 'stakeholder-trust']",,"net-zero,renewables,stakeholder-trust",improve,sbti,98
Synthetic Org #569,transport,5000+,global,high,advanced,[],full,['stakeholder-trust'],,stakeholder-trust,manage,iso-14001,91
Synthetic Org #570,construction,50-250,global,very-high,basic,"['iso-14001', 'iso-14064']",full,"['sdg', 'renewables']","iso-14001,iso-14064","sdg,renewables",measure,ghg-protocol,89
Synthetic Org #571,chemicals,50-250,na,low,basic,"['iso-14001', 'iso-45001', 'iso-50001']",full,['net-zero'],"iso-14001,iso-45001,iso-50001",net-zero,improve,sbti,95
Synthetic Org #572,consumer-goods,5000+,uk,moderate,none,"['iso-50001', 'iso-14064']",partial,"['stakeholder-trust', 'sbti']","iso-50001,iso-14064","stakeholder-trust,sbti",measure,ghg-protocol,98
Synthetic Org #573,financial,5000+,apac,moderate,none,['iso-14064'],none,['stakeholder-trust'],iso-14064,stakeholder-trust,measure,ghg-protocol,95
Synthetic Org #574,energy,1-50,apac,very-high,basic,['iso-50001'],partial,['sdg'],iso-50001,sdg,measure,ghg-protocol,88
Synthetic Org #575,healthcare,1-50,latam,high,none,"['iso-14064', 'iso-45001']",partial,['renewables'],"iso-14064,iso-45001",renewables,measure,ghg-protocol,97
Synthetic Org #576,manufacturing,50-250,eu,high,none,[],full,[],,,measure,ghg-protocol,95
Synthetic Org #577,manufacturing,50-250,india,moderate,basic,['iso-14001'],none,['renewables'],iso-14001,renewables,report,brsr,91
Synthetic Org #578,agriculture,1-50,na,moderate,advanced,[],full,['stakeholder-trust'],,stakeholder-trust,report,gri,75
Synthetic Org #579,financial,250-1000,india,very-high,advanced,[],full,[],,,report,brsr,87
Synthetic Org #580,consumer-goods,5000+,apac,low,basic,[],none,['sbti'],,sbti,improve,sbti,93
Synthetic Org #581,healthcare,250-1000,global,very-high,advanced,[],none,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",improve,sdgs,76
Synthetic Org #582,energy,1-50,na,very-high,none,"['iso-14001', 'iso-50001']",partial,"['stakeholder-trust', 'net-zero']","iso-14001,iso-50001","stakeholder-trust,net-zero",improve,sbti,95
Synthetic Org #583,chemicals,50-250,india,very-high,advanced,[],full,[],,,report,brsr,89
Synthetic Org #584,construction,5000+,na,high,basic,"['iso-50001', 'iso-14001', 'iso-14064']",partial,['sdg'],"iso-50001,iso-14001,iso-14064",sdg,measure,ghg-protocol,87
Synthetic Org #585,transport,50-250,india,high,none,['iso-14064'],full,[],iso-14064,,measure,ghg-protocol,98
Synthetic Org #586,financial,250-1000,eu,moderate,basic,"['iso-50001', 'iso-14001', 'iso-14064']",partial,"['stakeholder-trust', 'sbti', 'renewables']","iso-50001,iso-14001,iso-14064","stakeholder-trust,sbti,renewables",report,csrd,95
Synthetic Org #587,construction,5000+,eu,very-high,basic,['iso-14064'],full,"['sbti', 'stakeholder-trust', 'sdg']",iso-14064,"sbti,stakeholder-trust,sdg",improve,sbti,97
Synthetic Org #588,chemicals,5000+,india,moderate,none,"['iso-50001', 'iso-14064', 'iso-14001']",partial,"['sbti', 'sdg', 'net-zero']","iso-50001,iso-14064,iso-14001","sbti,sdg,net-zero",measure,ghg-protocol,98
Synthetic Org #589,financial,5000+,apac,low,none,[],partial,[],,,measure,ghg-protocol,93
Synthetic Org #590,technology,1000-5000,uk,high,basic,"['iso-45001', 'iso-14001', 'iso-14064']",full,[],"iso-45001,iso-14001,iso-14064",,measure,ghg-protocol,86
Synthetic Org #591,chemicals,50-250,global,high,advanced,"['iso-50001', 'iso-45001']",full,['sbti'],"iso-50001,iso-45001",sbti,improve,sbti,92
Synthetic Org #592,manufacturing,250-1000,global,very-high,none,"['iso-14064', 'iso-45001']",full,['sbti'],"iso-14064,iso-45001",sbti,measure,ghg-protocol,95
Synthetic Org #593,consumer-goods,1000-5000,uk,moderate,none,[],none,[],,,measure,ghg-protocol,96
Synthetic Org #594,consumer-goods,1-50,na,very-high,none,"['iso-50001', 'iso-14001', 'iso-45001']",full,['renewables'],"iso-50001,iso-14001,iso-45001",renewables,measure,ghg-protocol,96
Synthetic Org #595,healthcare,1000-5000,apac,high,basic,['iso-14064'],none,[],iso-14064,,measure,ghg-protocol,90
Synthetic Org #596,healthcare,1000-5000,apac,high,basic,"['iso-14001', 'iso-45001', 'iso-14064']",full,"['renewables', 'net-zero']","iso-14001,iso-45001,iso-14064","renewables,net-zero",measure,ghg-protocol,95
Synthetic Org #597,construction,5000+,india,very-high,advanced,"['iso-14064', 'iso-45001']",none,[],"iso-14064,iso-45001",,report,brsr,90
Synthetic Org #598,construction,250-1000,uk,very-high,basic,['iso-50001'],partial,"['sdg', 'net-zero']",iso-50001,"sdg,net-zero",improve,sbti,95
Synthetic Org #599,financial,50-250,uk,very-high,none,"['iso-14001', 'iso-14064']",full,"['stakeholder-trust', 'sbti', 'renewables']","iso-14001,iso-14064","stakeholder-trust,sbti,renewables",improve,sbti,98
Synthetic Org #600,consumer-goods,250-1000,uk,low,none,"['iso-50001', 'iso-14064']",partial,[],"iso-50001,iso-14064",,measure,ghg-protocol,98
